Sentencias;label
Do you think the Commission has been aggressive, as aggressive as it should have been in implementing 706?;N
Give me an idea of when you start looking at a section like that in the deployment of broadband, have we had a disagreement on the Commission on how it should be implemented or what the Commission should be doing.;N
Now, let's face it, now, in my state of Montana and like the state of West Virginia and the state of North Dakota, we are not exactly--;N
Billings, Montana may be rural by the measurement that we use nationwide, and then when we go to Lewistown, Montana, that's frontier, and going back to some old terms used in Medicare and things.;N
Senator Dorgan is exactly right on the build-out, and if we're going to have any kind of economic chance to stay up with the rest of the world in a national or a global economy, broadband is essential out there.;N
We've got a situation now in rural America that is not a very pretty picture, and until America wants to pay more for its bread, we're going to continue to be in a very, very--in an economic state that we're very uncomfortable in in our area, so we know it's very important.;N
Thank you, Commissioner Ness, for coming in front of the group and answering some questions.;N
I want to turn if I could to some specific questions regarding particularly Bell Atlantic's application to get into in-region long distance service in New York, but not so much that but the template it sets for future roll-outs there.;N
In the separate statement that you issued in conjunction with the Commission's approval of Bell Atlantic's application to provide in-region long distance service in New York, you indicated that it would have been in your words unfair to penalize Bell Atlantic for its record on DSL loop performance at this time, close quote.;N
You state that, quote, because the consumer market for broadband services has only recently begun to develop, end quote, the FCC collaborative process did not adequately address the ordering and provisioning of DSL-capable loops.;N
Then you go on to say that our evaluation of future applications will be focused on this issue.;N
Now, in reading all of those together it sounds a lot like that you may be favoring an ever-expanding checklist before other applicants are going to be allowed these same opportunities that were provided to Bell Atlantic, and I'm concerned if that is the case, if there's going to be more items on the checklist, that people don't know about, and I would like for you to tell us today, is the checklist set now for applicants seeking to provide that long distance service?;N
So the checklist for future applications will remain the same as it was for Bell Atlantic's application when it went through the FCC?;N
I want to make sure that companies in making their applications know here's the hurdles we have to clear and that they're set and there are not additional ones that are put after the first one has been cleared.;N
We're now in 2000 and it seems like it's taken quite a while to implement this Act, and I would hope that those checklists could be set, firmed up and everybody know what they have to meet to get into long distance services.;N
In your statement accompanying the Commission's May 7, 1997 Universal Service Order you indicated you thought the FCC had made substantial progress and established a clear timetable for implementation of that Telecommunications Act which was enacted into law February 8th of 1996, which in telecommunications development is ancient history, I suppose, given this rate of change.;N
Did you really think that 4 years after the bill became law that the FCC would still not have fully implemented the high-;N
cost provisions of Section 254? Do you consider how long it has taken and how much further we have to go for a clear timetable there?;N
If I might submit to you, 4 years is a long time, given the rate of change that's taken place in telecommunications and the platform for the new economy that it's providing, and by not having this issue resolved, it further impedes investment into rural and other high-cost areas.;N
I would really hope we could step, you know, step up the implementation of that so the rural areas and those providing telephony and other services would know what they've got to work with.;N
Last year I introduced legislation that prohibits the application of spectrum caps to new spectrum that is auctioned in the future.;N
One of the reasons I introduced the bill was to accelerate the introduction of advance services, including wireless Internet access and other data services, for which operators need substantially more spectrum in order to provide the service.;N
Given the fact that some of the spectrums from C and F block licenses is not currently being used, is it safe to conclude that relief from the spectrum cap could be granted for these licenses without risking industry consolidation?;N
If so, shouldn't relief be granted to ensure that advance wireless services develop without behind relevancies?;N
Well, I'd hoped that we could provide those and make them available so that more of the advance services would be available.;N
It's very interesting, in fact, that our Committee system was in fact set up many, many years ago having absolutely no idea of the science and technology kinds of changes.;N
Then you have the phenomenon of a Senate where, oh, I guess there's maybe a couple in their 40's, 50's, 60's, 70's, 80's and 90's are the ages, and so therefore, our making a policy or deciding not to make policy for the purposes of the advancement of science and technology in telecommunications is very important.;N
But it also, I think, means that the Federal Communications Commission is even more important, because we really don't have the experience by virtue of generation, although many of us are trying, that the Commission does, and particularly you, because as I indicated, you are the only member of the Commission who has served since, you know, the Telecommunications Act was passed.;N
Senator Brownback indicated that that was really a very long time ago, but it seems like yesterday, and what I would like to do, if you would sort of reflect on some of the issues that--you've learned from this very kind of difficult transition from what appeared to be a relatively clear act to the four years.;N
That includes, as I indicated, under-funding, getting sued for every single thing that you do or whatever.;N
Senator Snowe and I later this week are going to be introducing a rural telecommunications bill that addresses what Senator Dorgan is also very concerned about, and that is the build-out of broadband in rural areas or, rather, the lack of build-out.;N
And it's very interesting to look at what Bell Atlantic and others plan in terms of broadband in West Virginia, and it basically covers five of our 55 counties and ignores all the others.;N
And that gets you into another definition of the digital divide, not just the use of computers but the use of data flow, individual, you know, flow, and all the rest of it and at what speed--you know, what's the upload, what's the download time, et cetera.;N
And so Senator Snowe and I are going to be introducing this bill which provides a tax credit to them.;N
And I'm not necessarily a tax credit type of Senator, but I think that, you know, if that will help telecommunications expand and build out into rural areas, and we define rural areas in a particular way--and this doesn't go on forever.;N
Most people on this Committee come from rural states and very much like the Finance Committee, which used to be an Oil and Gas Committee, is now pretty much a rural Committee, and I would just be interested in your concept in terms of what it might be like in 10 years or what needs to happen over those 10 years.;N
You know, Senator Dorgan said that comparable services include not just universal service but also broadband, and that's in the law, and yet here I am offering a tax credit bill to try and entice companies to do something which under the law they ought to be doing, and that worries me.;N
And even the tax credit bill which Senator Snowe and I are going to introduce, I think the telecommunications companies like that but, on the other hand, even that will not cover all of West Virginia.;N
It's just going to be an increment of improvement and I think that, you know, I just think that's terribly important.;N
I was in two of them, and in one of them, there was an Internet company because there had been a special build-out for them but for nobody else within a hundred miles in any direction.;N
Commissioner, I believe neither Senator Snowe nor I have voted and there's a vote probably about to finish so we will have to leave in a moment, and I'm unable to come back because I'm Ranking Member on an appropriations subcommittee that is meeting as well, so I have to be there.;N
First of all, there's no living American who can interpret his or her phone bill these days.;N
You know, you get a phone bill for 25 dollars and it's eight and a half pages and completely not understandable.;N
And I actually just made some calls to the carrier some while ago just for fun to see if they could explain it to me and they couldn't, so the people who sent me the bill don't know why they send me the bill, and it's eight to ten pages for $30.;N
Second on the issue of truth in billing, I have felt that you should connect access charge reform to universal service.;N
What's happened is you're giving companies access charge reductions to the tune of billions of dollars and they take those reductions and they smile and they say that's fine, we like that, but now what we're going to do is to tell the consumer in one line on our billing the universal service requirement.;N
So they put a few dollars on that phone bill that says, ``Here's what we've got to do because the government says we have to do it.'';N
Truth in billing would require that they tell the customer the whole story, and that is something we ought to be concerned about.;N
I think you ought to tie access charge reform specifically to universal service--connect those two numbers.;N
We want those companies that want to meet the checklist, go through it, and become competitive and do long distance.;N
We want them to do that and so we want the checklist not to be an insurmountable barrier, but the reason that this hasn't happened as quickly as some would suggest.;N
The Senator from Kansas wondered why some companies have not made it a decision, and they want to make the checklist.;N
It requires a company that says my company's goal is to meet this checklist, then take steps to do it.;N
Some companies have been pretty slow off the blocks in that regard, but for those that want to (and now many of them do), we don't want meeting the checklist to be an insurmountable barrier--we want it to be reasonable.;N
I'm going to ask--Bob Rowe from the National Association of Rural Utility Commissioners is working on a regional test to OSS testing under the 271 process.;N
And I probably won't be able to listen to them, and so if you will perhaps send me a note on that, I would appreciate it.;N
We haven't voted and I have been taking some time that Senator Snowe perhaps wants to take as well, so Commissioner Ness, consider those issues.;N
I'm sorry that I wasn't able to be here earlier but there are so many conflicting meetings this morning.;N
I want to take this opportunity to welcome Commissioner Ness to this Committee and for her nomination for a second term on the FCC.;N
I applaud her for the work that she has done, particularly in the area in upholding the universal service subsidy and providing the discounts to schools and libraries and health care facilities in all parts of the country.;D
And beyond her commitment in providing leadership at the FCC and chairing the Joint State-Federal Board on Universal Service.;D
Commissioner Ness also is very knowledgeable and experienced in so many of the telecommunications matters that are going to have an impact on the future of this country and is also committed to enforcing the laws as Congress intended.;D
Commissioner Ness, we appreciate your commitment to enforcing the laws according to the spirit of the statutes as passed by Congress over the years concerning telecommunications.;D
As Senator Rockefeller indicated, I do share his concern about the extent to which competition has reached the rural areas.;D
Certainly, the intent of the Telecommunications Act in the deregulation of the telecommunications industry was to bring competition to the rural areas of the country, as well.;N
That has been much slower, and I hope that the FCC and you will give it specific attention, particularly in terms of bringing broadband to rural areas, and that's why Senator Rockefeller and I are looking at providing a tax credit as a way of expediting broadband delivery to rural areas.;N
In addition, I hope that you can address this Committee in terms of what the FCC is doing to bring about competition in all areas because it is going to continue to make a difference in the have and have-;N
breaking, unprecedented merger between AOL and Time-Warner that may or may not have advantages or disadvantages at this time.;N
I think it is difficult to say, but I would also appreciate your views and perspective on these mergers and what kind of benefits or disadvantages do they bring to the consumers and what can we expect in the future.;N
So again, Commissioner Ness, thank you for the work that you have done and I hope that we can expedite your reconfirmation here because I think you have done a superb job on the Commission.;D
Going on in this, in some mergers I think you're entirely correct, some mergers are beneficial to the consumer and also the way we do business, some are not, and you have to look I guess at mergers on a case-by-case basis.;N
And we knew at some date content would take over and be the driving force of the Internet, and I think we have entered the era of that.;N
There are some areas of that that concern you, there are some areas that I think will be very beneficial.;N
Sometimes when mergers happen, everybody that is under that same tent it seems like it's very competitive with each other, and if that competition continues, why, I think that's a very good sign.;N
It just seems like the Commission without the direction of Congress just took off and started making policy with regard to low-power radio, and some of our most vocal critics has been those folks in public radio, the translater interference, this kind of interference, and I would just like your view on low power.;N
Why do you think the Commission has to take an active role that goes beyond the intent, what I believe is not the intent of Congress?;N
Why would we--even though the engineers at the FCC maybe do not have the same concerns as engineers across the country, I mean, I've not been into one major market and talked to engineering people that do not have concerns.;N
You see, I have the opinion that even though low power and some folks who want to put a low-power station should go through the same rigors of establishing a radio station that any other commercial broadcaster or public broadcaster makes when they establish an entity to do that and apply for spectrum in order to do it.;N
We have between newspapers and cable and broadcast industries and those entities, I would like your views on that, please.;N
Do you have a guiding principle whenever you start making these decisions on cross-ownership?;N
Is there any way that you have a philosophy on should the newspaper be able to own--and we have three television stations.;N
Any guiding light on should a newspaper in Billings, Montana be able to own a broadcast property there under those conditions?;N
That's like the old Harry Truman statement: Spend the first 6 months when you're here trying to figure out how you got here, then the next 6 months trying to figure out how everybody else got here.;N
It means millions of dollars in funding for school children and libraries to access the Internet.;N
It means insuring spectrum access for utility workers after a tornado enabling the troops of the 82d Airborne at Fort Benning to have more than adequate communication capability with their commanding officers when performing defense maneuvers.;N
More and more of them are making their homes in my state and access to broadband services--a number of services in addition to just telephone.;N
I look forward to hearing some of your ideas about your philosophy of the last 5 years of service and what you would like to do the next five.;N
Ms. Ness, as you know, Section 706 of the 1996 Telecommunications Act encourages the deployment of ``advanced telecommunications capability.'';N
The report the FCC issued in response stated that this technology is being deployed on a timely basis.;N
I would like to know what is your opinion on the employment of advanced services and what type of role do you see the E rate Program playing in achieving the goals of Section 706?;N
The 1996 act also requires co-location and interconnection with existing ILECs, incumbent local exchange carriers in their facilities.;N
"In your statement following the approval of Bell Atlantic's Section 271 application you indicated that previous FCC decisions, ``adequately addressed the ordering and provisioning of extant DSL loops;'' however, you said our evaluation of future applications will, indeed, focus on this issue.";N
I've been informed of the excellent work the FCC's wireless bureau has done in reducing its backlog of paperwork.;N
A great deal of the work the wireless bureau does directly impacts the spectrum allocation in the United States, which I hear is increasingly a challenge.;N
As you know, there's a great deal of exciting wireless technology that claims to reduce the amount of spectrum needed for this technology to operate while increasing the power and capability of wireless products.;N
Five years ago when you were approved by the Senate to sit on the FCC, so much of the technology and so many of the companies that are out there today in many ways didn't even exist or, shall we say, were not even on the radar screen 5 years ago.;N
Just seeing that incredible advance of technology, and the incredible investment in information and telecommunications technologies and companies that raise hair on our heads whenever we contemplate the billions and hundreds of billions invested in these companies, isn't it quite a challenge as we walk into the 21st century together that over the next 5 years, just what might happen?;N
You might see a need for the FCC to update or revamp or come up to speed on, and adjust or reform some of its practices and its own workings in order to keep up with the world that is growing exponentially at an incredible rate of speed.;N
When I look at just the last 5 years and look at the prospect of what might happen in the information technology and telecommunications in the next 5 years, it's stunning what might happen in the next ten.;N
So I just offer my word of support not only for your nomination and your further service on the FCC, but count on me to help you adapt to the need for speed in this incredible world where government hopefully can adapt quickly enough and surely enough to be responsive to industry but also continue to protect the public interest.;N
No, Mr. Chairman, but I would like to note that which I did not before, that Commissioner Tristani is here and I just think that's very nice.;N
I want to do some followup with you, Commissioner, with regard to I want to ask you--and I think this is better done in probably a private conversation, not keeping it from anyone, but I have some concerns about how we deal with spectrum and how we go through the auction business and how we handle it if it's repossessed and how we should use that and the FCC's role.;N
I think we're going to consider in Congress how we deal with spectrum once it is owned and how much control do we have to relinquish as a government, or do we lose complete control of that spectrum?;N
I would like to kind of ferret that out a little bit with you, and I think we can do that in private conversation, but there are some things happening that does concern Congress or at least this Member of Congress, anyway, with regard to dealing with spectrum and allocations and its use.;N
I would ask you that you might respond to the individual Senators and to the Committee for its review, and that's all the questions I have today, other than the fact that I'll be in touch with you as far as the spectrum is concerned.;N
But I want to thank you for coming today and responding to the questions, and appreciate your cooperation and I look forward in moving this nomination.;N
Well, Mr. Won, we intend to move your nomination on this markup so that you can be reappointed.;N
Do you have any questions for Mr. Won, who is nominee for reappointment to a second term at the Federal Maritime Commission?;N
As we were talking before you came in the room, I realized that I have known Norman Mineta now for 30 years.;N
In 1970, I was President of the San Francisco Board of Supervisors, he was a member of the San Jose City Council.;D
He then went on to become Vice Mayor and then in 1971 to 1974 Mayor of the City of San Jose.;D
In 1942 when he was 11, his family was among the 120,000 Japanese Americans forcibly removed to internment camps on the West Coast because of their ancestry.;D
I think fittingly, one of his career highlights in Congress was his leadership in the enactment of the Civil Liberties Act of 1988, which called for a formal apology and $20,000 in compensation to each Japanese American survivor of these internment camps.;D
He graduated from the University of California-Berkeley in 1953 with a Bachelor of Science in Business.;D
Upon his return, he entered the insurance business and became active in San Jose urban affairs.;D
He served on the San Jose Human Relations Commission and the San Jose Housing Authority prior to his tenure on the City Council.;D
In 1967, he was the first ethnic minority elected to the City Council and that began his string of firsts.;D
In 1971, he was elected Mayor of San Jose becoming the first Japanese American Mayor of a major city.;D
In 1974, he became the first Japanese American from the continental United States to be elected to the House of Representatives.;D
When he assumed the chairmanship of the House Committee on Public Works and Transportation, he became the first American of Asian ancestry to chair a major committee in the House.;D
Of course, should the Senate confirm his nomination as Commerce Secretary, he would become the first Asian American to serve in the President's cabinet.;D
The older I get, I find sometimes there are two kinds of people, problem makers and problem solvers.;N
I think his 21 years of experience on the Hill in a whole panoply of committee assignments, and particularly as Chairman of the Committee on Public Works and Transportation, demonstrates a very solid knowledge of the interreaction between people and business.;D
He has the knowledge, he has the legislative background, he has the experience, and he has the ability, I think, to be a very fine Secretary of Commerce.;D
So Mr. Chairman, it is with a great deal of pleasure that I am here this morning simply to indicate my strong support and my hope, as you just stated, that this Committee will speedily process his confirmation.;N
I want to associate myself with the remarks of my senior Senator, and I will not be repetitive.;N
My heart is full of joy today and it is full of joy for Norm, for his family, for Asian Americans, for all Americans, because, Mr. Chairman, I know you know this and you believe this, that when we do open the door to all of our people we are such a better Nation.;N
What it means is that the door will be opened to so many others who might not have been considered.;N
I just want to say, when I served with Norm for 10 years in the House of Representatives, Senator Feinstein is right, a problem solver.;D
Mr. Chairman, I hope you will have the opportunity in the brief time that is left on this particular term to work with this fine, soon to be I hope Commerce Secretary, because in his district there are so many different points of view and so much diversity and so many Democrats, so many Republicans, independents.;N
He was able to bring everyone together, which is a wonderful trait, and make progress for everyone.;D
So Norm, you bring us joy today, and I am just pleased that you asked me to be here with you.;N
Mr. Chairman and members of the Committee: I am most privileged to be here this morning to join the distinguished Senators of California to support Norm Mineta for the office of Secretary of Commerce.;N
Here is a young man who, at a time when he was beginning to understand the complexities of society, had to leave his home with his parents to go to a desolate strange place in Wyoming called Hot Mountain, and there he spent nearly 2 years.;D
But instead of leading a life of gloom and bitterness, he returned home dedicated to serve his country.;D
As Senator Feinstein and Senator Boxer have indicated, he served on the San Jose City Council, then became mayor and a distinguished member of the Congress.;D
I would associate myself with the glowing remarks of our distinguished witnesses and the opening statement that you made.;N
The American public will be fortunate again to have his service in their behalf as the Secretary of Commerce.;N
I enthusiastically support and endorse the nomination and, like you, Mr. Chairman, I am hopeful that we can move this nomination as quickly as possible so that Mr. Mineta will be able to assume his duties and responsibilities on behalf of the American public.;N
On a personal note, having known him for 20 years, I am very pleased for him personally and his family.;N
I just pointed out to Senator Inouye, I have been on this Committee, Congressman Mineta--I guess I have to call you for the moment--I have heard many presentations of candidates, but I have never heard them give such a deep and emotional support for a candidate.;N
I share that view, and I share particularly the historical significance that Senator Inouye referred to.;N
He did not say that you are the first Asian American cabinet member, and he did not specifically talk about internments and injustices done, but they were in his comments and in his heart.;N
I think it is a powerful day that America becomes whole as you become the first Asian American to serve in the United States Cabinet.;D
During the course of questioning we will talk about steel, which you and I have discussed, the digital divide, and the whole question of spectrum division.;N
You have the toughness, the experience, the executive experience, the legislative experience, the personal nature of conflict resolution, bringing people together, the intensity of public service, the concept of public service which is so valuable and increasingly rare.;D
Although I think it lies in the hearts of all Americans, it is not manifested as it once was.;N
I am embarrassed on behalf of the Committee that there are not more of us here to join you.;N
It is a little bit like Internet access, having a computer in your home as opposed to just at the schools when that happened in every classroom.;N
It is almost like something is being built into your DNA, that you are predestined by the currents of the economy to make it or not and there comes to be very little that you can do about it, because this is not something that an individual can--I mean, sure, somebody from southern West Virginia can decide, well, I am going to go to Carnegie Mellon University and become a real computer science pro.;N
Cisco has Cisco Academies all over the country, all over the world, trying to do their best.;N
So I really understand it when people talk about the digital divide as being the next civil rights movement, with all of the passions and the dangers and in many ways, since much of the civil rights movement was nonviolent based upon that philosophy, this will not necessarily be that way, because we are not just talking about America here.;N
We are talking about the African subcontinent that the chairman was speaking about, others across the world who do not have this.;N
If they are denied technology and they feel that it is built into their DNA, so to speak, that there is no way out for them and therefore they are condemned to low wages and a life of poverty--and I think this will happen unless intervention is made on a massive scale--that they will resort to using the very technology that they do not have against those who do have it.;N
I think this is the whole question of international terrorism in a new form, where people are simply angry because they have been systemically and predictably left out and can see that from a very early age.;N
I will pass and simply submit my question on spectrum management to you in the interest of time.;N
But there is simply no way for me to talk strongly enough about what I think the digital divide is in the process of doing to this country.;N
I see it in the State of New Mexico that you referred to a few moments ago, and many other rural areas.;N
I see it in broadband where Bell Atlantic, which is our phone company, has broadband plans, but they have it for 5 of our 55 counties and they are all contiguous and they are where all the people are and where all the people of wealth are.;N
But the counties like Calhoun County, where you have 26 to 30 percent unemployment, rural areas, which in a State which is 96 percent mountainous is obviously preordained, too, they have no part.;N
We will make every effort to do it before the recess, and I know that the other members of the Committee will join in that.;N
So I will not make that my closing comment because I see our friend Senator Ashcroft here.;N
Well, Secretary Daley had communicated to me in a document that was a fact sheet that outlined the staffing and other things.;N
The second issue I want to address is a little broader than China and, frankly, I have a China trade enforcement bill called the Show-Me Act.;N
I will be looking for ways to raise the issues in my bill in the context of the PNTR debate, but if I can get a commitment from the administration that you would pursue these principles of enforcement in a broader context in the WTO then I think that would be more appropriate than simply focusing on China.;N
It is my belief that the U.S. has lost a measure of its leverage or its enforcement capacity in the WTO to get actual implementation of cases that we have won in the WTO, that we frequently will litigate an offense against the United States or its businesses in the context of the dispute resolution mechanisms provided for in WTO, we get the decision, but the enforcement measures provided for as a result of the decision do not really get us compliance.;N
So that the decisionmaking process ends up in sort of authorizing continued noncompliance upon the payment of a certain fee, which is the fine or the penalty.;N
So that in my judgment in many respects the WTO has become a way to license noncompliance by paying a fee, rather than to enforce compliance.;N
I think one of the problems that exists here is that the standards for leverage or retaliation or response to noncompliance once determined in the setting of dispute resolution, the standards have changed.;N
In 1947 the standard was that you had response or leverage or retaliation ``appropriate in the circumstances to achieve the objective,'' the objective being the purpose of the free trade or access to the market or to make sure that the agreement was enforced.;N
