sentence	label
AnI think anybody who brings her owns mitts is always preparefor anything that lies aheaso I wholeheartedly endorse her renomination.	D
Before we take your statement, Commissioner, we have been joineby the distinguisheSenator from West Virginia.	N
I know it anthat is the reason I calleyou last night with great respect to ask your permission if I coultalk for about 60 seconds, anyou saiyes.	N
I want to do that because I so strongly support Susan Ness anI think it is incredibly important for the FCC that she be renominated.	N
She's taken from the telecommunication to regulation act every single aspect of that anworkeit through.	D
We've spent endless hours working together overcoming problems anshe's patient, understanding, knows it.	D
I didn't even know about The Wharton School until I was reading about it last night, but that's just another dimension.	N
She's been very strong on universal service, she's been very strong on consumer interest, anvery strong on trying to get compromise for a digital television standareffective on that.	D
She's pusheto move new technologies towarthe marketplace as quickly as possible, which I think is important for a Commissioner, anshe's been a very effective advocate for spectrum management policies that create a level playing fielfor all kinds of technologies.	D
But given all that, still I think the experience is the thing which is so important, the stability which is needeon the FCC.	D
I sorely suspect that they're understaffed, that they're under-funded, anI will have questions for her on that, but I'm extremely supportive of her renomination.	N
I think it's an absolute must for the success of the FCC in a situation where all the work that she does is moving much more quickly than we in Congress, where our committees were set up just after the seconWorlWar are prepareto deal with them, so we really neeSusan Ness.	D
Now we'll have a statement from Ms. Ness anwelcome this morning anbefore this Committee.	N
Mr. Chairman, let me just say hearing all these laudatory statements, that I think of the comment made by Winston Churchill in July 1945.	N
We haVE Day on May the 8th of 1945 anthe enof July, Mr. Churchill was voteout of office by Clement Atlee, anunder the rule in the UniteKingdom, you're supposeto be outside, which he was, of 10 Downing with his clothing rack anhis chest of drawers.	N
Here was a fellow who hawon the war to enall wars anin just 3 months' time they were getting riof him.	N
AnMs. Ness has been helup now since, what, almost a year, having done an outstanding job.	D
As Churchill says, don't look for gratitude, which she's got some goofriends here, anyou waiteentirely too long.	D
The only reason I asked, Mr. Chairman, for you to yieljust a seconis because I wanteto commenthe Commission on its rulings with respect to Section 271 now that we have haBell Atlantic.	N
You've institutean Enforcement Bureau, anlet's continue with that, because that's highly important that we don't think to just get approval anthen they don't have to still comply with their 14-point checklist.	N
The lawyers for the Bell companies wrote those 14 points, anI'm very, very much along with Senator Rockefeller in support of your renomination, anI hope we can get it in the next markup here so we can get it to the floor.	N
Well, I think maybe with citing Churchill anhis demise after WorlWar II, it stooby the olPresbyterian saying that no goodeeshall go unpunished, anwe may be in that sort of a situation, but I understanthat it is the Chairman of--the full Committee's intent is to move this nomination out of Committee, anthat's what I understannow, anyway, anI think that's a goosign.	N
We've been joineby the distinguisheSenator from North Dakota, west of the river, we might add, Senator Dorgan.	N
I think Senator Rockefeller indicatethat this is a Commission that very much needs her continueleadership.	D
I votefor all of them anI'm prouthey're there, but Commissioner Ness has been there anis the, as Senator Rockefeller indicated, the institutional memory.	N
But, more important from my standpoint anI think the standpoint of perhaps you anothers, Mr. Chairman, is as we implement the Telecommunications Act, the use of the Universal Service Funto builout the infrastructure for advancetelecommunications services will have a lot to do with how this country looks in the future.	N
It will have a lot to do with where people live, where jobs are created, where people move, where people do business.	N
If we have a country in which there is a digital divide ansmall towns anrural areas do not have the larger pipes or the advanceservices through which data can move, they are destinenot to attract economic development anjobs annew opportunities.	N
We must avoithat at all cost, anwe must take steps anactions to make sure that the Universal Service Funis useas the Act was written anintended.	N
The Universal Service Funin the Telecommunications Act is designenot only to facilitate the services of telephones at affordable prices, ancomparable service but in addition to that, we wrote into the Act that it relates to advancetelecommunications services or broadband, as well, so the connection of the Universal Service Funto that requirement anthat opportunity is critically important.	N
There's no one on the Commission who has a better understanding of that or understands the urgency of that better than Commissioner Ness.	D
As someone representing a rural state, it is imperative that we keep Commissioner Ness on that Commission fighting for those issues.	D
This is not a case of her fighting our fight on these issues at the expense of someone else.	N
It is the fact that the implementation of the Telecommunications Act is working quite well in some areas of the country.	N
There is robust, aggressive competition where there is an income stream to justify it, anwe all understanthat.	N
I just haa meeting a moment ago when a colleague of mine, Senator Burns, took out his Palm VII ansomeone said, ``Is that wireless?''	N
Anthe point he was making just by answering the inquiry was yeah, this is wireless anit's wonderful, I'm glaI have it this morning in Washington, DC but in Montana, it doesn't work.	N
Wouldn't work in North Dakota, either, because we don't have ubiquitous services all across this country anthe build-	N
I think everyone at this dais at this point has an interest in seeing that rural areas experience the full flower of opportunity coming from the Telecommunications Act.	N
Well, like I said, the Chairman has already indicatethat he is going to move this nomination out of Committee so we're happy about that.	N
Let me start off by--I don't know of anybody that I've hathe opportunity to work with since I come to Washington, DC, ansince you were put on the Commission that we have haa very, very gooworking relationship anI want--anI appreciate your accessibility.	N
Also, we've done some things in the country anyou've been very, very, very active in furthering those things, anthose things we are concerneabout in rural areas anhow universal service works anhow we are seeing the roll-	D
There's a couple of areas that I have concerns about, if you wouljust help me along a little bit, that has to do with Section 706, of course, in the Telecom Act.	N
I haquite a lot to do with that Section anthe build-out of technology into rural areas anthis type thing anbroadbandeployment in this thing.	N
Coulyou give the Committee your view of the current state of that broadbanroll-out in America anspecifically in rural areas?	N
Do you think the Commission has been aggressive, as aggressive as it shoulhave been in implementing 706?	N
Give me an idea of when you start looking at a section like that in the deployment of broadband, have we haa disagreement on the Commission on how it shoulbe implementeor what the Commission shoulbe doing.	N
Now, let's face it, now, in my state of Montana anlike the state of West Virginia anthe state of North Dakota, we are not exactly--	N
Billings, Montana may be rural by the measurement that we use nationwide, anthen when we go to Lewistown, Montana, that's frontier, angoing back to some olterms usein Medicare anthings.	N
Senator Dorgan is exactly right on the build-out, anif we're going to have any kinof economic chance to stay up with the rest of the worlin a national or a global economy, broadbanis essential out there.	N
We've got a situation now in rural America that is not a very pretty picture, anuntil America wants to pay more for its bread, we're going to continue to be in a very, very--in an economic state that we're very uncomfortable in in our area, so we know it's very important.	N
Thank you, Commissioner Ness, for coming in front of the group ananswering some questions.	N
I want to turn if I coulto some specific questions regarding particularly Bell Atlantic's application to get into in-region long distance service in New York, but not so much that but the template it sets for future roll-outs there.	N
In the separate statement that you issuein conjunction with the Commission's approval of Bell Atlantic's application to provide in-region long distance service in New York, you indicatethat it woulhave been in your words unfair to penalize Bell Atlantic for its recoron DSL loop performance at this time, close quote.	N
You state that, quote, because the consumer market for broadbanservices has only recently begun to develop, enquote, the FCC collaborative process dinot adequately address the ordering anprovisioning of DSL-capable loops.	N
Then you go on to say that our evaluation of future applications will be focuseon this issue.	N
Now, in reading all of those together it sounds a lot like that you may be favoring an ever-expanding checklist before other applicants are going to be allowethese same opportunities that were provideto Bell Atlantic, anI'm concerneif that is the case, if there's going to be more items on the checklist, that people don't know about, anI woullike for you to tell us today, is the checklist set now for applicants seeking to provide that long distance service?	N
So the checklist for future applications will remain the same as it was for Bell Atlantic's application when it went through the FCC?	N
I want to make sure that companies in making their applications know here's the hurdles we have to clear anthat they're set anthere are not additional ones that are put after the first one has been cleared.	N
We're now in 2000 anit seems like it's taken quite a while to implement this Act, anI woulhope that those checklists coulbe set, firmeup aneverybody know what they have to meet to get into long distance services.	N
In your statement accompanying the Commission's May 7, 1997 Universal Service Order you indicateyou thought the FCC hamade substantial progress anestablishea clear timetable for implementation of that Telecommunications Act which was enacteinto law February 8th of 1996, which in telecommunications development is ancient history, I suppose, given this rate of change.	N
Diyou really think that 4 years after the bill became law that the FCC woulstill not have fully implementethe high-	N
cost provisions of Section 254? Do you consider how long it has taken anhow much further we have to go for a clear timetable there?	N
If I might submit to you, 4 years is a long time, given the rate of change that's taken place in telecommunications anthe platform for the new economy that it's providing, anby not having this issue resolved, it further impedes investment into rural another high-cost areas.	N
I woulreally hope we coulstep, you know, step up the implementation of that so the rural areas anthose providing telephony another services woulknow what they've got to work with.	N
Last year I introducelegislation that prohibits the application of spectrum caps to new spectrum that is auctionein the future.	N
One of the reasons I introducethe bill was to accelerate the introduction of advance services, including wireless Internet access another data services, for which operators neesubstantially more spectrum in order to provide the service.	N
Given the fact that some of the spectrums from C anF block licenses is not currently being used, is it safe to conclude that relief from the spectrum cap coulbe grantefor these licenses without risking industry consolidation?	N
If so, shouldn't relief be granteto ensure that advance wireless services develop without behinrelevancies?	N
Well, I'hopethat we coulprovide those anmake them available so that more of the advance services woulbe available.	N
It's very interesting, in fact, that our Committee system was in fact set up many, many years ago having absolutely no idea of the science antechnology kinds of changes.	N
Then you have the phenomenon of a Senate where, oh, I guess there's maybe a couple in their 40's, 50's, 60's, 70's, 80's an90's are the ages, anso therefore, our making a policy or deciding not to make policy for the purposes of the advancement of science antechnology in telecommunications is very important.	N
But it also, I think, means that the Federal Communications Commission is even more important, because we really don't have the experience by virtue of generation, although many of us are trying, that the Commission does, anparticularly you, because as I indicated, you are the only member of the Commission who has servesince, you know, the Telecommunications Act was passed.	N
Senator Brownback indicatethat that was really a very long time ago, but it seems like yesterday, anwhat I woullike to do, if you woulsort of reflect on some of the issues that--you've learnefrom this very kinof difficult transition from what appeareto be a relatively clear act to the four years.	N
That includes, as I indicated, under-funding, getting suefor every single thing that you do or whatever.	N
Senator Snowe anI later this week are going to be introducing a rural telecommunications bill that addresses what Senator Dorgan is also very concerneabout, anthat is the build-out of broadbanin rural areas or, rather, the lack of build-out.	N
Anit's very interesting to look at what Bell Atlantic anothers plan in terms of broadbanin West Virginia, anit basically covers five of our 55 counties anignores all the others.	N
Anthat gets you into another definition of the digital divide, not just the use of computers but the use of data flow, individual, you know, flow, anall the rest of it anat what speed--you know, what's the upload, what's the downloatime, et cetera.	N
Anso Senator Snowe anI are going to be introducing this bill which provides a tax credit to them.	N
AnI'm not necessarily a tax credit type of Senator, but I think that, you know, if that will help telecommunications expananbuilout into rural areas, anwe define rural areas in a particular way--anthis doesn't go on forever.	N
Most people on this Committee come from rural states anvery much like the Finance Committee, which useto be an Oil anGas Committee, is now pretty much a rural Committee, anI wouljust be interestein your concept in terms of what it might be like in 10 years or what needs to happen over those 10 years.	N
You know, Senator Dorgan saithat comparable services include not just universal service but also broadband, anthat's in the law, anyet here I am offering a tax credit bill to try anentice companies to do something which under the law they ought to be doing, anthat worries me.	N
Aneven the tax credit bill which Senator Snowe anI are going to introduce, I think the telecommunications companies like that but, on the other hand, even that will not cover all of West Virginia.	N
It's just going to be an increment of improvement anI think that, you know, I just think that's terribly important.	N
I was in two of them, anin one of them, there was an Internet company because there habeen a special build-out for them but for nobody else within a hundremiles in any direction.	N
Commissioner, I believe neither Senator Snowe nor I have voteanthere's a vote probably about to finish so we will have to leave in a moment, anI'm unable to come back because I'm Ranking Member on an appropriations subcommittee that is meeting as well, so I have to be there.	N
First of all, there's no living American who can interpret his or her phone bill these days.	N
You know, you get a phone bill for 25 dollars anit's eight ana half pages ancompletely not understandable.	N
AnI actually just made some calls to the carrier some while ago just for fun to see if they coulexplain it to me anthey couldn't, so the people who sent me the bill don't know why they senme the bill, anit's eight to ten pages for $30.	N
Seconon the issue of truth in billing, I have felt that you shoulconnect access charge reform to universal service.	N
What's happeneis you're giving companies access charge reductions to the tune of billions of dollars anthey take those reductions anthey smile anthey say that's fine, we like that, but now what we're going to do is to tell the consumer in one line on our billing the universal service requirement.	N
So they put a few dollars on that phone bill that says, ``Here's what we've got to do because the government says we have to do it.''	N
Truth in billing woulrequire that they tell the customer the whole story, anthat is something we ought to be concerneabout.	N
I think you ought to tie access charge reform specifically to universal service--connect those two numbers.	N
We want those companies that want to meet the checklist, go through it, anbecome competitive ando long distance.	N
We want them to do that anso we want the checklist not to be an insurmountable barrier, but the reason that this hasn't happeneas quickly as some woulsuggest.	N
The Senator from Kansas wonderewhy some companies have not made it a decision, anthey want to make the checklist.	N
It requires a company that says my company's goal is to meet this checklist, then take steps to do it.	N
Some companies have been pretty slow off the blocks in that regard, but for those that want to (annow many of them do), we don't want meeting the checklist to be an insurmountable barrier--we want it to be reasonable.	N
I'm going to ask--Bob Rowe from the National Association of Rural Utility Commissioners is working on a regional test to OSS testing under the 271 process.	N
AnI probably won't be able to listen to them, anso if you will perhaps senme a note on that, I woulappreciate it.	N
We haven't voteanI have been taking some time that Senator Snowe perhaps wants to take as well, so Commissioner Ness, consider those issues.	N
I'm sorry that I wasn't able to be here earlier but there are so many conflicting meetings this morning.	N
I want to take this opportunity to welcome Commissioner Ness to this Committee anfor her nomination for a seconterm on the FCC.	N
I applauher for the work that she has done, particularly in the area in upholding the universal service subsidy anproviding the discounts to schools anlibraries anhealth care facilities in all parts of the country.	D
Anbeyonher commitment in providing leadership at the FCC anchairing the Joint State-Federal Boaron Universal Service.	D
Commissioner Ness also is very knowledgeable anexperiencein so many of the telecommunications matters that are going to have an impact on the future of this country anis also committeto enforcing the laws as Congress intended.	D
Commissioner Ness, we appreciate your commitment to enforcing the laws according to the spirit of the statutes as passeby Congress over the years concerning telecommunications.	D
As Senator Rockefeller indicated, I do share his concern about the extent to which competition has reachethe rural areas.	D
Certainly, the intent of the Telecommunications Act in the deregulation of the telecommunications industry was to bring competition to the rural areas of the country, as well.	N
That has been much slower, anI hope that the FCC anyou will give it specific attention, particularly in terms of bringing broadbanto rural areas, anthat's why Senator Rockefeller anI are looking at providing a tax credit as a way of expediting broadbandelivery to rural areas.	N
In addition, I hope that you can address this Committee in terms of what the FCC is doing to bring about competition in all areas because it is going to continue to make a difference in the have anhave-	N
breaking, unprecedentemerger between AOL anTime-Warner that may or may not have advantages or disadvantages at this time.	N
I think it is difficult to say, but I woulalso appreciate your views anperspective on these mergers anwhat kinof benefits or disadvantages do they bring to the consumers anwhat can we expect in the future.	N
So again, Commissioner Ness, thank you for the work that you have done anI hope that we can expedite your reconfirmation here because I think you have done a superb job on the Commission.	D
Going on in this, in some mergers I think you're entirely correct, some mergers are beneficial to the consumer analso the way we do business, some are not, anyou have to look I guess at mergers on a case-by-case basis.	N
Anwe knew at some date content woultake over anbe the driving force of the Internet, anI think we have enterethe era of that.	N
There are some areas of that that concern you, there are some areas that I think will be very beneficial.	N
Sometimes when mergers happen, everybody that is under that same tent it seems like it's very competitive with each other, anif that competition continues, why, I think that's a very goosign.	N
It just seems like the Commission without the direction of Congress just took off anstartemaking policy with regarto low-power radio, ansome of our most vocal critics has been those folks in public radio, the translater interference, this kinof interference, anI wouljust like your view on low power.	N
Why do you think the Commission has to take an active role that goes beyonthe intent, what I believe is not the intent of Congress?	N
Why woulwe--even though the engineers at the FCC maybe do not have the same concerns as engineers across the country, I mean, I've not been into one major market antalketo engineering people that do not have concerns.	N
You see, I have the opinion that even though low power ansome folks who want to put a low-power station shoulgo through the same rigors of establishing a radio station that any other commercial broadcaster or public broadcaster makes when they establish an entity to do that anapply for spectrum in order to do it.	N
We have between newspapers ancable anbroadcast industries anthose entities, I woullike your views on that, please.	N
Do you have a guiding principle whenever you start making these decisions on cross-ownership?	N
Is there any way that you have a philosophy on shoulthe newspaper be able to own--anwe have three television stations.	N
Any guiding light on shoula newspaper in Billings, Montana be able to own a broadcast property there under those conditions?	N
That's like the olHarry Truman statement: Spenthe first 6 months when you're here trying to figure out how you got here, then the next 6 months trying to figure out how everybody else got here.	N
It means millions of dollars in funding for school children anlibraries to access the Internet.	N
It means insuring spectrum access for utility workers after a tornado enabling the troops of the 82Airborne at Fort Benning to have more than adequate communication capability with their commanding officers when performing defense maneuvers.	N
More anmore of them are making their homes in my state anaccess to broadbanservices--a number of services in addition to just telephone.	N
I look forwarto hearing some of your ideas about your philosophy of the last 5 years of service anwhat you woullike to do the next five.	N
Ms. Ness, as you know, Section 706 of the 1996 Telecommunications Act encourages the deployment of ``advancetelecommunications capability.''	N
The report the FCC issuein response statethat this technology is being deployeon a timely basis.	N
I woullike to know what is your opinion on the employment of advanceservices anwhat type of role do you see the E rate Program playing in achieving the goals of Section 706?	N
The 1996 act also requires co-location aninterconnection with existing ILECs, incumbent local exchange carriers in their facilities.	N
In your statement following the approval of Bell Atlantic's Section 271 application you indicatethat previous FCC decisions, ``adequately addressethe ordering anprovisioning of extant DSL loops;'' however, you saiour evaluation of future applications will, indeed, focus on this issue.	N
I've been informeof the excellent work the FCC's wireless bureau has done in reducing its backlog of paperwork.	N
A great deal of the work the wireless bureau does directly impacts the spectrum allocation in the UniteStates, which I hear is increasingly a challenge.	N
As you know, there's a great deal of exciting wireless technology that claims to reduce the amount of spectrum needefor this technology to operate while increasing the power ancapability of wireless products.	N
Five years ago when you were approveby the Senate to sit on the FCC, so much of the technology anso many of the companies that are out there today in many ways didn't even exist or, shall we say, were not even on the radar screen 5 years ago.	N
Just seeing that incredible advance of technology, anthe incredible investment in information antelecommunications technologies ancompanies that raise hair on our heads whenever we contemplate the billions anhundreds of billions investein these companies, isn't it quite a challenge as we walk into the 21st century together that over the next 5 years, just what might happen?	N
You might see a neefor the FCC to update or revamp or come up to speeon, anadjust or reform some of its practices anits own workings in order to keep up with the worlthat is growing exponentially at an incredible rate of speed.	N
When I look at just the last 5 years anlook at the prospect of what might happen in the information technology antelecommunications in the next 5 years, it's stunning what might happen in the next ten.	N
So I just offer my worof support not only for your nomination anyour further service on the FCC, but count on me to help you adapt to the neefor speein this incredible worlwhere government hopefully can adapt quickly enough ansurely enough to be responsive to industry but also continue to protect the public interest.	N
No, Mr. Chairman, but I woullike to note that which I dinot before, that Commissioner Tristani is here anI just think that's very nice.	N
I want to do some followup with you, Commissioner, with regarto I want to ask you--anI think this is better done in probably a private conversation, not keeping it from anyone, but I have some concerns about how we deal with spectrum anhow we go through the auction business anhow we handle it if it's repossesseanhow we shouluse that anthe FCC's role.	N
I think we're going to consider in Congress how we deal with spectrum once it is owneanhow much control do we have to relinquish as a government, or do we lose complete control of that spectrum?	N
I woullike to kinof ferret that out a little bit with you, anI think we can do that in private conversation, but there are some things happening that does concern Congress or at least this Member of Congress, anyway, with regarto dealing with spectrum anallocations anits use.	N
I woulask you that you might responto the individual Senators anto the Committee for its review, anthat's all the questions I have today, other than the fact that I'll be in touch with you as far as the spectrum is concerned.	N
But I want to thank you for coming today anresponding to the questions, anappreciate your cooperation anI look forwarin moving this nomination.	N
Well, Mr. Won, we intento move your nomination on this markup so that you can be reappointed.	N
Do you have any questions for Mr. Won, who is nominee for reappointment to a seconterm at the Federal Maritime Commission?	N
As we were talking before you came in the room, I realizethat I have known Norman Mineta now for 30 years.	N
In 1970, I was President of the San Francisco Boarof Supervisors, he was a member of the San Jose City Council.	D
He then went on to become Vice Mayor anthen in 1971 to 1974 Mayor of the City of San Jose.	D
In 1942 when he was 11, his family was among the 120,000 Japanese Americans forcibly removeto internment camps on the West Coast because of their ancestry.	D
I think fittingly, one of his career highlights in Congress was his leadership in the enactment of the Civil Liberties Act of 1988, which callefor a formal apology an$20,000 in compensation to each Japanese American survivor of these internment camps.	D
He graduatefrom the University of California-Berkeley in 1953 with a Bachelor of Science in Business.	D
Upon his return, he enterethe insurance business anbecame active in San Jose urban affairs.	D
He serveon the San Jose Human Relations Commission anthe San Jose Housing Authority prior to his tenure on the City Council.	D
In 1967, he was the first ethnic minority electeto the City Council anthat began his string of firsts.	D
In 1971, he was electeMayor of San Jose becoming the first Japanese American Mayor of a major city.	D
In 1974, he became the first Japanese American from the continental UniteStates to be electeto the House of Representatives.	D
When he assumethe chairmanship of the House Committee on Public Works anTransportation, he became the first American of Asian ancestry to chair a major committee in the House.	D
Of course, shoulthe Senate confirm his nomination as Commerce Secretary, he woulbecome the first Asian American to serve in the President's cabinet.	D
The older I get, I finsometimes there are two kinds of people, problem makers anproblem solvers.	N
I think his 21 years of experience on the Hill in a whole panoply of committee assignments, anparticularly as Chairman of the Committee on Public Works anTransportation, demonstrates a very soliknowledge of the interreaction between people anbusiness.	D
He has the knowledge, he has the legislative background, he has the experience, anhe has the ability, I think, to be a very fine Secretary of Commerce.	D
So Mr. Chairman, it is with a great deal of pleasure that I am here this morning simply to indicate my strong support anmy hope, as you just stated, that this Committee will speedily process his confirmation.	N
I want to associate myself with the remarks of my senior Senator, anI will not be repetitive.	N
My heart is full of joy today anit is full of joy for Norm, for his family, for Asian Americans, for all Americans, because, Mr. Chairman, I know you know this anyou believe this, that when we do open the door to all of our people we are such a better Nation.	N
What it means is that the door will be openeto so many others who might not have been considered.	N
I just want to say, when I servewith Norm for 10 years in the House of Representatives, Senator Feinstein is right, a problem solver.	D
Mr. Chairman, I hope you will have the opportunity in the brief time that is left on this particular term to work with this fine, soon to be I hope Commerce Secretary, because in his district there are so many different points of view anso much diversity anso many Democrats, so many Republicans, independents.	N
He was able to bring everyone together, which is a wonderful trait, anmake progress for everyone.	D
So Norm, you bring us joy today, anI am just pleasethat you askeme to be here with you.	N
Mr. Chairman anmembers of the Committee: I am most privilegeto be here this morning to join the distinguisheSenators of California to support Norm Mineta for the office of Secretary of Commerce.	N
Here is a young man who, at a time when he was beginning to understanthe complexities of society, hato leave his home with his parents to go to a desolate strange place in Wyoming calleHot Mountain, anthere he spent nearly 2 years.	D
But insteaof leading a life of gloom anbitterness, he returnehome dedicateto serve his country.	D
As Senator Feinstein anSenator Boxer have indicated, he serveon the San Jose City Council, then became mayor ana distinguishemember of the Congress.	D
I woulassociate myself with the glowing remarks of our distinguishewitnesses anthe opening statement that you made.	N
The American public will be fortunate again to have his service in their behalf as the Secretary of Commerce.	N
I enthusiastically support anendorse the nomination and, like you, Mr. Chairman, I am hopeful that we can move this nomination as quickly as possible so that Mr. Mineta will be able to assume his duties anresponsibilities on behalf of the American public.	N
On a personal note, having known him for 20 years, I am very pleasefor him personally anhis family.	N
I just pointeout to Senator Inouye, I have been on this Committee, Congressman Mineta--I guess I have to call you for the moment--I have hearmany presentations of candidates, but I have never hearthem give such a deep anemotional support for a candidate.	N
I share that view, anI share particularly the historical significance that Senator Inouye referreto.	N
He dinot say that you are the first Asian American cabinet member, anhe dinot specifically talk about internments aninjustices done, but they were in his comments anin his heart.	N
I think it is a powerful day that America becomes whole as you become the first Asian American to serve in the UniteStates Cabinet.	D
During the course of questioning we will talk about steel, which you anI have discussed, the digital divide, anthe whole question of spectrum division.	N
You have the toughness, the experience, the executive experience, the legislative experience, the personal nature of conflict resolution, bringing people together, the intensity of public service, the concept of public service which is so valuable anincreasingly rare.	D
Although I think it lies in the hearts of all Americans, it is not manifesteas it once was.	N
I am embarrasseon behalf of the Committee that there are not more of us here to join you.	N
It is a little bit like Internet access, having a computer in your home as opposeto just at the schools when that happenein every classroom.	N
It is almost like something is being built into your DNA, that you are predestineby the currents of the economy to make it or not anthere comes to be very little that you can do about it, because this is not something that an individual can--I mean, sure, somebody from southern West Virginia can decide, well, I am going to go to Carnegie Mellon University anbecome a real computer science pro.	N
Cisco has Cisco Academies all over the country, all over the world, trying to do their best.	N
So I really understanit when people talk about the digital divide as being the next civil rights movement, with all of the passions anthe dangers anin many ways, since much of the civil rights movement was nonviolent baseupon that philosophy, this will not necessarily be that way, because we are not just talking about America here.	N
We are talking about the African subcontinent that the chairman was speaking about, others across the worlwho do not have this.	N
If they are denietechnology anthey feel that it is built into their DNA, so to speak, that there is no way out for them antherefore they are condemneto low wages ana life of poverty--anI think this will happen unless intervention is made on a massive scale--that they will resort to using the very technology that they do not have against those who do have it.	N
I think this is the whole question of international terrorism in a new form, where people are simply angry because they have been systemically anpredictably left out ancan see that from a very early age.	N
I will pass ansimply submit my question on spectrum management to you in the interest of time.	N
But there is simply no way for me to talk strongly enough about what I think the digital divide is in the process of doing to this country.	N
I see it in the State of New Mexico that you referreto a few moments ago, anmany other rural areas.	N
I see it in broadbanwhere Bell Atlantic, which is our phone company, has broadbanplans, but they have it for 5 of our 55 counties anthey are all contiguous anthey are where all the people are anwhere all the people of wealth are.	N
But the counties like Calhoun County, where you have 26 to 30 percent unemployment, rural areas, which in a State which is 96 percent mountainous is obviously preordained, too, they have no part.	N
We will make every effort to do it before the recess, anI know that the other members of the Committee will join in that.	N
So I will not make that my closing comment because I see our frienSenator Ashcroft here.	N
Well, Secretary Daley hacommunicateto me in a document that was a fact sheet that outlinethe staffing another things.	N
The seconissue I want to address is a little broader than China and, frankly, I have a China trade enforcement bill callethe Show-Me Act.	N
I will be looking for ways to raise the issues in my bill in the context of the PNTR debate, but if I can get a commitment from the administration that you woulpursue these principles of enforcement in a broader context in the WTO then I think that woulbe more appropriate than simply focusing on China.	N
It is my belief that the U.S. has lost a measure of its leverage or its enforcement capacity in the WTO to get actual implementation of cases that we have won in the WTO, that we frequently will litigate an offense against the UniteStates or its businesses in the context of the dispute resolution mechanisms providefor in WTO, we get the decision, but the enforcement measures providefor as a result of the decision do not really get us compliance.	N
So that the decisionmaking process ends up in sort of authorizing continuenoncompliance upon the payment of a certain fee, which is the fine or the penalty.	N
